Barcode	Description	UnitRRP	Category	CategoryID	CategoryFullNodeList
9771653371007	Robot	399	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9771653371991	Robot	299	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9771942589014	Amusin Krusin	425	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9772055341001	Britain Guide	499	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9772055605011	Blocks	499	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9772057890002	Britains Favourite	699	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9780860240006	Great British Classics	999	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9780862963415	Model Price Guide	899	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9781852772536	Trial Guide	699	Leisure Interests	526	::News/Mags::Magazines::Leisure Interests
9770003653053	Apollo	550	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9770003653077	Apollo	695	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771351504004	Antiques Fairs & Centres Gde	275	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771365585075	Antiques Information Mag	320	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771365585082	Antiques Information Mag	340	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771365585099	Antiques Information Mag	350	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771365585105	Antiques Information Mag	360	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771365585112	Antiques Info	375	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771365585129	Antiques Info	380	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771365585136	Antiques Information Mag	390	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771464183042	Antiques & Collectables	340	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771464943011	Antiques Magazine	195	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771476991011	Antiques Diary Midlands/North	200	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771476991017	Antiques Diary Midlands/North	200	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771652916529	Emerald Ruby	260	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9771747436018	Antiques & Collectables	295	Antiques	527	::News/Mags::Magazines::Leisure Interests::Antiques
9770004353006	Art Forum	695	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770004387063	Artist	270	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770004387070	Artist	280	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770004387087	Artist	295	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770004387094	Artist	310	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770004387100	Artist	325	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770004387117	Artist	330	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770004387148	Artist	390	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071072	Leisure Painter	280	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071089	Leisure Painter	295	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071096	Leisure Painter	310	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071102	Leisure Painter	325	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071140	Leisure Painter	390	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071157	Leisure Painter	399	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071997	Leisure Painter	499	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770269469092	A & I - Artists & Illustrators	295	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770269469108	A & I - Artists & Illustrators	310	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770269469115	A & I - Artists & Illustrators	330	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770269469146	A & I - Artists & Illustrators	395	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770269469160	Artists Illustrators	425	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770306610043	Crafts	650	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770953669036	Modern Painters	599	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770962067007	Frieze	695	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770962067014	Frieze	595	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770962067021	Frieze	695	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771003686102	Leap	660	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771077841018	Juxtapoz	325	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771077841025	Juxtapoz	350	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771077841032	Juxtapoz	375	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771077841049	Juxtapoz	400	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771077841056	Juxtapoz	420	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771440132033	International Artist	425	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771440132057	International Artist	475	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771440132064	International Artist	495	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771440132071	International Artist	595	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771471645304	Art Course	299	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771476143133	Art Crazy	250	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771524903009	Pastel	495	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771538495002	Quilting Arts	375	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771653608004	Modart	350	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771742254020	Selvedge Magazine	995	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771743271002	Aesthetica	450	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771743271019	Aesthetica	450	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771743271033	Aesthetica	395	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771743271040	Aesthetica	425	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771743271057	Aesthetica	475	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771743271064	Aesthetica	495	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193006	Art Of England	390	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193013	Art Of England	295	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193020	Art Of England	325	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193037	Art Of England	325	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193051	Art Of England	370	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193068	Art Of England	390	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193075	Art Of England	399	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193082	Art Of England	399	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193099	Art Of England	450	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771744193808	Art Of England	370	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771745448013	Map (The)	495	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771745797029	Culture	130	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771745797036	Culture	130	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771747932022	Above	500	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771759570021	Rolf Harris Art Course	299	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9771759570045	Art Course	299	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772014939003	Lambo Magazine	800	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772042695001	Artbox	495	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772045333016	Hub (The)	700	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772048777022	Disegno	800	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772053488005	Discover Art	499	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772054206004	Love Craft	499	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772054206981	Love Craft	799	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772055738009	Krome	495	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772056631002	Art Books	795	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772059112003	Colour	325	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772059838002	Dot To Dot	350	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772332471001	Flatt Book	995	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772378708000	Blouinilifstyle.Com	595	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772397985000	Designed	500	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772426142008	Colour Mediation	499	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9772470996008	G Allerie	760	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9776285716011	Art & Auction	675	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9781784941178	Zen Colouring	0	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9781785461040	Bz Fantasy Art Genius Guide	1299	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9781909128828	Calming Art Special Edition	499	Art	528	::News/Mags::Magazines::Leisure Interests::Art
9770002267145	Aircraft Illustrated	360	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770002267152	Aircraft Illustrated	370	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770002267169	Aircraft Illustrated	380	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770002267176	Aircraft Illustrated	395	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371167	Flight International	250	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371174	Flight International	260	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371181	Flight International	270	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371198	Flight International	285	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371211	Flight International	300	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371235	Flight International	320	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371266	Flight International	340	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371273	Flight International	350	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015371280	Flight International	360	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015480050	Flying	375	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015480067	Flying	375	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770015480074	Flying	399	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770036723011	Sailplane & Gliding	399	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770036723037	Sailplane & Gliding	399	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770036723044	Sailplane and Gliding	450	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770143724095	Magazine	430	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770262695153	Flypast	360	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770262695160	Flypast	370	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770262695177	Flypast	380	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770262695214	Flypast	425	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770262695245	Flypast	450	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770300169134	Pilot	360	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770300169141	Pilot	380	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770300169189	Pilot	399	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770300169981	Pilot	499	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770300169998	Pilot	499	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770306563165	Air International	360	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770306563219	Air International	420	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770306563226	Air International 	430	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770306563233	Air International	440	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770306563240	Air International	450	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770306563264	Air International	470	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770306563271	Air International	480	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770886225026	Air & Space	325	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770886225033	Air Space	350	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
9770886225996	Air Space	395	Aviation	529	::News/Mags::Magazines::Leisure Interests::Aviation
